 item.type , item.value                                                    
 uri       , http://dbpedia.org/resource/Azucena_Galettini                 
 uri       , http://dbpedia.org/resource/Adriana_Puiggrós                  
 uri       , http://dbpedia.org/resource/Alan_Pauls                        
 uri       , http://dbpedia.org/resource/Alejandro_Agostinelli             
 uri       , http://dbpedia.org/resource/Aníbal_Cristobo                   
 uri       , http://dbpedia.org/resource/Ariana_Harwicz                    
 uri       , http://dbpedia.org/resource/Esteban_Echeverría                
 uri       , http://dbpedia.org/resource/Federico_Andahazi                 
 uri       , http://dbpedia.org/resource/Flavia_Company                    
 uri       , http://dbpedia.org/resource/Oliver_Fiechter                   
 uri       , http://dbpedia.org/resource/Carlos_Gorostiza                  
 uri       , http://dbpedia.org/resource/Oliverio_Girondo                  
 uri       , http://dbpedia.org/resource/Ángel_Faretta                     
 uri       , http://dbpedia.org/resource/Guido_Mina_di_Sospiro             
 uri       , http://dbpedia.org/resource/Adolfo_Bioy_Casares               
 uri       , http://dbpedia.org/resource/Alberto_Manguel                   
 uri       , http://dbpedia.org/resource/Ana_María_Shua                    
 uri       , http://dbpedia.org/resource/Marta_Traba                       
 uri       , http://dbpedia.org/resource/Marcelo_Birmajer                  
 uri       , http://dbpedia.org/resource/Vicente_Fidel_López               
 uri       , http://dbpedia.org/resource/Marcela_Iacub                     
 uri       , http://dbpedia.org/resource/Conrado_Nalé_Roxlo                
 uri       , http://dbpedia.org/resource/Humberto_Costantini               
 uri       , http://dbpedia.org/resource/Gonzalo_Garcés                    
 uri       , http://dbpedia.org/resource/Luis_Barragán_(painter)           
 uri       , http://dbpedia.org/resource/Luisa_Peluffo                     
 uri       , http://dbpedia.org/resource/Inés_Fernández_Moreno             
 uri       , http://dbpedia.org/resource/J._Rodolfo_Wilcock                
 uri       , http://dbpedia.org/resource/José_María_Rosa                   
 uri       , http://dbpedia.org/resource/Carlos_Bernardo_González_Pecotche 
 uri       , http://dbpedia.org/resource/Carlos_Lousto                     
 uri       , http://dbpedia.org/resource/Carlos_Petroni                    
 uri       , http://dbpedia.org/resource/José_María_Ramos_Mejía            
 uri       , http://dbpedia.org/resource/Jorge_Majfud                      
 uri       , http://dbpedia.org/resource/José_Rivera_Indarte               
 uri       , http://dbpedia.org/resource/Enrique_Anderson_Imbert           
 uri       , http://dbpedia.org/resource/Perla_Suez                        
 uri       , http://dbpedia.org/resource/Alicia_Ghiragossian               
 uri       , http://dbpedia.org/resource/Marcos_Aguinis                    
 uri       , http://dbpedia.org/resource/Felipe_Pigna                      
 uri       , http://dbpedia.org/resource/Lohana_Berkins                    
 uri       , http://dbpedia.org/resource/Homero_Manzi                      
 uri       , http://dbpedia.org/resource/Claudia_Amengual                  
 uri       , http://dbpedia.org/resource/Delmira_Agustini                  
 uri       , http://dbpedia.org/resource/José_Enrique_Rodó                 
 uri       , http://dbpedia.org/resource/Juan_Carlos_Onetti                
 uri       , http://dbpedia.org/resource/Julio_Herrera_y_Reissig           
 uri       , http://dbpedia.org/resource/Jorge_Ruffinelli                  
 uri       , http://dbpedia.org/resource/Marcos_Sastre                     
 uri       , http://dbpedia.org/resource/Manuel_Pérez_y_Curis              
 uri       , http://dbpedia.org/resource/Esther_de_Cáceres                 
 uri       , http://dbpedia.org/resource/Gabriel_Pombo                     
 uri       , http://dbpedia.org/resource/Jules_Supervielle                 
 uri       , http://dbpedia.org/resource/Daniel_Mella                      
 uri       , http://dbpedia.org/resource/Ida_Vitale                        
 uri       , http://dbpedia.org/resource/Jorge_Medina_Vidal                
 uri       , http://dbpedia.org/resource/Hugo_Burel                        
 uri       , http://dbpedia.org/resource/Alberto_Methol_Ferré              
 uri       , http://dbpedia.org/resource/Eduardo_Acevedo_Díaz              
 uri       , http://dbpedia.org/resource/Eduardo_Galeano                   
 uri       , http://dbpedia.org/resource/Laura_Canoura                     
 uri       , http://dbpedia.org/resource/Comte_de_Lautréamont              
 uri       , http://dbpedia.org/resource/Eduardo_Cuitiño                   
 uri       , http://dbpedia.org/resource/Natalia_Mardero                   
 uri       , http://dbpedia.org/resource/Circe_Maia                        
 uri       , http://dbpedia.org/resource/Gloria_Escomel                    
 uri       , http://dbpedia.org/resource/Juan_Carlos_Mondragón             
 uri       , http://dbpedia.org/resource/Jules_Laforgue                    
 uri       , http://dbpedia.org/resource/Carlos_Rehermann                  
 uri       , http://dbpedia.org/resource/Carlos_Vaz_Ferreira               
 uri       , http://dbpedia.org/resource/Carmen_Novoa                      
 uri       , http://dbpedia.org/resource/Carmen_Posadas                    
 uri       , http://dbpedia.org/resource/Matilde_Bianchi                   
 uri       , http://dbpedia.org/resource/Mario_Markic                      
 uri       , http://dbpedia.org/resource/Ricardo_Romero_(writer)           
 uri       , http://dbpedia.org/resource/Adela_Castell                     
 uri       , http://dbpedia.org/resource/Luisa_Luisi                       
 uri       , http://dbpedia.org/resource/César_Aira                        
 uri       , http://dbpedia.org/resource/María_Elena_Walsh                 
 uri       , http://dbpedia.org/resource/Raúl_Scalabrini_Ortiz             
 uri       , http://dbpedia.org/resource/Emma_de_Cartosio                  
 uri       , http://dbpedia.org/resource/Martina_Iñíguez                   
 uri       , http://dbpedia.org/resource/Hipólito_da_Costa                 
